date	close
2008-04-01	415.0000
2008-04-02	535.0000
2008-04-03	400.0000
2008-04-04	510.0000
2008-04-05	360.0000
2008-04-06	470.0000
2008-04-07	510.0000
2008-04-08	475.0000
2008-04-09	525.0000
2008-04-10	465.0000
2008-04-11	545.0000
2008-04-12	480.0000
2008-04-13	280.0000
2008-04-14	515.0000
2008-04-15	485.0000
2008-04-16	465.0000
2008-04-17	440.0000
2008-04-18	560.0000
2008-04-19	480.0000
2008-04-20	465.0000
2008-04-21	500.0000
2008-04-22	455.0000
2008-04-23	505.0000
2008-04-24	485.0000
2008-04-25	525.0000
2008-04-26	485.0000
2008-04-27	440.0000
2008-04-28	530.0000
2008-04-29	425.0000
